iter	Passed	Remaining
0	0	42
1	0	30
2	0	26
3	1	24
4	1	22
5	1	20
6	1	19
7	1	17
8	1	17
9	1	16
10	2	17
11	2	17
12	2	16
13	2	16
14	3	17
15	3	17
16	3	16
17	3	16
18	3	15
19	3	15
20	3	14
21	4	14
22	4	14
23	4	13
24	4	13
25	4	13
26	4	13
27	4	12
28	5	12
29	5	12
30	5	11
31	5	11
32	5	11
33	5	11
34	6	11
35	6	10
36	6	10
37	6	10
38	6	10
39	6	10
40	7	10
41	7	10
42	7	9
43	7	9
44	8	10
45	8	10
46	9	11
47	9	10
48	10	10
49	10	10
50	10	10
51	10	9
52	10	9
53	10	9
54	11	9
55	11	8
56	11	8
57	11	8
58	11	8
59	12	8
60	12	7
61	12	7
62	12	7
63	12	7
64	12	6
65	12	6
66	13	6
67	13	6
68	13	5
69	13	5
70	13	5
71	13	5
72	13	5
73	13	4
74	14	4
75	14	4
76	14	4
77	14	4
78	14	3
79	14	3
80	14	3
81	15	3
82	15	3
83	15	2
84	15	2
85	15	2
86	15	2
87	15	2
88	16	1
89	16	1
90	16	1
91	16	1
92	16	1
93	16	1
94	16	0
95	16	0
96	17	0
97	17	0
98	17	0
99	17	0
